序号,设备名称,核心芯片,算力,适配大模型,内存/存储,内存带宽,本地可流畅LLM,核心接口,散热/噪音,典型场景,参考价(¥),产地/生态,缺点,架构师建议,最小LLM参数量,最大LLM参数量
1,Firefly AIBOX-3568,RK3568,1 TOPS,LLaMA.cpp、轻量端侧模型、Qwen-1.8B,4GB/8GB LPDDR4 + eMMC,6.4 GB/s,仅 4-bit 6B,千兆、HDMI、USB3.0,无风扇/静音,入门学习、轻量 AIoT,400-700,中国/开源,算力极低且带宽受限,仅作为传感器网关或跑极小SLM,0.5B,1.8B
2,天波 V15B,RK3588,6 TOPS,LLaMA.cpp、Qwen-7B、端侧视觉模型,8GB/16GB LPDDR4X + NVMe,15 GB/s,6B/7B流畅、14B卡顿,双千兆、HDMI+DP、USB3.0、RS485,无风扇/静音,边缘视觉、国产系统适配,900-1600,中国/工业稳定,NPU工具链部署繁琐,适合轻量视觉+2B级语言模型协同,1.8B,7B
3,Firefly AIBOX-3588S,RK3588S,6 TOPS,LLaMA.cpp、Qwen-7B、端侧视觉模型,8GB/16GB LPDDR4X + NVMe,15 GB/s,同 V15B,双千兆、HDMI+DP、USB3.0,无风扇/静音,静音桌面、家庭 NAS+AI,800-1500,中国/开源广,高负载易降频,适合桌面AI原型开发验证,1.8B,7B
4,谷歌 Coral Dev Board,Coral TPU,4 TOPS,TensorFlow Lite、Coral 模型库、轻量 LLM,4GB LPDDR4 + eMMC,12.8 GB/s,仅轻量 6B,千兆、USB3.0、PCIe,无风扇/静音,谷歌生态、IoT 原型,800-1200,美国/生态封闭,极其封闭、仅支持TFLite量化,仅限纯视觉或谷歌生态项目使用,N/A,3B
5,谷歌 Coral Dev Board 2,Coral TPUv2,20 TOPS,TensorFlow Lite、EfficientNet、轻量 7B,8GB LPDDR4 + eMMC,25.6 GB/s,7B轻量、14B受限,千兆、USB3.0、PCIe,无风扇/静音,谷歌生态、轻量多模态,1200-1800,美国/生态封闭,大模型适配滞后,海外IoT视觉项目可考虑,0.5B,7B
6,宇视 UniAI 盒子,寒武纪 MLU220,16 TOPS,寒武纪 SDK、LLaMA.cpp (MLU)、Qwen-7B,8GB/16GB LPDDR4X + eMMC,25.6 GB/s,7B量化可跑,千兆、PoE、串口、LoRa,风扇/低噪,安防周界、野外无网场景,1000-1800,中国/安防生态,软件栈封闭、通用LLM难调,专供安防视觉或周界测绘,1.8B,7B
7,海康 DS-IE630N,自研 + FPGA,8 TOPS,海康 AI 模型、轻量检测、6B 量化,8GB LPDDR4 + eMMC,12.8 GB/s,仅 6B 量化,千兆、PoE、HDMI,风扇/低噪,人脸抓拍、8 路视频分析,800-1500,中国/安防强,不支持通用LLM框架,仅限海康体系内的传统视觉项目,N/A,6B
8,大华 DH-EVS2100,自研 + FPGA,12 TOPS,大华 AI 平台、轻量 LLM、视频结构化,8GB/16GB LPDDR4 + eMMC,15 GB/s,6B流畅、7B卡顿,千兆、PoE、HDMI、RS232,风扇/低噪,16路视频结构化、园区安防,900-1600,中国/安防强,生态封闭、内存带宽低,园区安防监控系统首选,1.8B,7B
9,Firefly AIBOX-1684X,算能 BM1684X,32 TOPS,算能 Sophon、LLaMA.cpp、Qwen-7B/14B,16GB LPDDR4X + NVMe,128 GB/s,7B满速、14B量化流畅,双千兆、HDMI、USB3.0、串口,风扇/低噪,家用/开发/边缘视觉,1800-2500,中国/成熟稳定,工具链需一定学习成本,高性价比的国产私有化LLM节点,7B,14B
10,Radxa AirBox,算能 BM1684X,32 TOPS,算能 Sophon、LLaMA.cpp、Qwen-7B/14B,16GB LPDDR4X + NVMe,128 GB/s,同AIBOX-1684X,双千兆、USB3.0、Type-C,风扇/小巧,便携桌面、轻量部署,2000-2800,中国/资料偏少,社区技术支持较弱,适合有算能开发经验的极客/团队,7B,14B
11,算能 SEA-BOX M1684,算能 BM1684,16 TOPS,算能 Sophon、LLaMA.cpp、Qwen-7B,8GB/16GB LPDDR4X + NVMe,32 GB/s,7B量化流畅,双千兆、HDMI、USB3.0,风扇/低噪,入门级边缘推理、低成本部署,1200-1800,中国/算能生态,旧架构带宽瓶颈明显,预算极其有限的边缘推理方案,1.8B,7B
12,AMD Ryzen Embedded R2000,R2000 + Xilinx FPGA,40 TOPS,Xilinx Vitis AI、LLaMA.cpp、Qwen-14B,16GB/32GB DDR4 + NVMe,38.4 GB/s,7B/14B流畅、30B可跑,双千兆、DP、USB3.1、串口,风扇/工业级,工业控制、嵌入式AI、宽温,3000-5000,美国/工业稳定,功耗偏高、FPGA开发极难,兼顾X86工控与AI推理的复合场景,7B,32B
13,全爱 后羿智盒,国产自研 SoC,50 TOPS,国产框架、LLaMA.cpp、Qwen-14B/30B,16GB/32GB LPDDR4X + NVMe,64 GB/s,14B/30B流畅,双网口、全接口、Type-C,无风扇/静音,卧室/桌面静音高性能,3000-4500,中国/商用生态,自研芯片框架兼容性存疑,需确认目标模型是否被官方支持,7B,32B
14,冠弈 A261,国产自研 SoC,50 TOPS,国产推理框架、Qwen-7B/14B/30B,16GB LPDDR4X + NVMe,64 GB/s,7B/14B满速、30B量化,双千兆、DP、USB3.1,风扇/均衡,中端全能、多并发推理,3500-5000,中国/教程少,缺乏开源社区背书,建议先要求厂商提供POC测试,7B,14B
15,NVIDIA Jetson Orin NX,Orin NX,100 TOPS,TensorRT、PyTorch、LLaMA2、Qwen 全系列,16GB LPDDR5 + NVMe,102 GB/s,7B/14B满速、30B量化流畅,双千兆、HDMI、USB3.2、M.2,风扇/均衡,机器人、自动驾驶、科研,3500-4500,美国/生态最强,相比国产方案溢价严重,具身智能和ROS机器人开发标配,7B,14B
16,昇腾 310P 智盒,昇腾 310P,176 TOPS,昇腾 CANN、MindSpore、Qwen-30B/70B,32GB LPDDR4X + NVMe,68 GB/s,14B/30B/70B全流畅,多网口、PoE、宽温、串口,工业散热,企业信创、多路视频分析,7000-12000,中国/企业级,强绑定昇腾CANN生态,政务信创项目大模型落地的首选,14B,32B
